id_acao,empresa_id,data_ajuizamento,tipo_contratacao,causa_principal,valor_acao,houve_acordo,resultado_final,tempo_empresa_colaborador,afastamento_previo
101,15,2023-11-29,CLT,Horas Extras,54590.84,Não,Parcialmente procedente,14.6,Sim
102,57,2025-09-23,CLT,Assédio Sexual,23651.0,Sim,Procedente,11.5,Sim
103,88,2025-01-29,CLT,Assédio Sexual,33456.51,Não,Parcialmente procedente,12.2,Não
104,19,2026-04-15,Estágio,Assédio Moral,74199.53,Não,Arquivada (acordo),12.9,Não
105,44,2025-04-12,Terceirizado,Verbas Rescisórias,36732.42,Não,Parcialmente procedente,6.0,Não
106,68,2025-05-02,PJ,FGTS,62434.96,Não,Arquivada (acordo),1.7,Não
107,27,2023-11-11,CLT,Assédio Sexual,46810.34,Sim,Improcedente,4.3,Sim
108,36,2024-03-30,CLT,Horas Extras,22371.15,Sim,Procedente,2.7,Sim
109,8,2024-12-13,Estágio,Acidente de Trabalho,53831.06,Sim,Parcialmente procedente,14.5,Sim
110,92,2024-06-27,Estágio,Assédio Moral,19433.58,Sim,Improcedente,12.6,Sim
111,89,2026-01-18,PJ,Assédio Moral,18729.31,Sim,Parcialmente procedente,5.3,Não
112,59,2023-12-18,Estágio,Assédio Sexual,9426.96,Não,Procedente,13.0,Sim
113,41,2023-11-11,CLT,Assédio Moral,52501.08,Não,Arquivada (acordo),4.0,Não
114,54,2024-02-11,Terceirizado,FGTS,12580.68,Sim,Procedente,13.4,Não
115,67,2025-02-17,Estágio,Verbas Rescisórias,61606.26,Sim,Improcedente,12.7,Sim
116,16,2024-05-28,CLT,FGTS,29821.76,Sim,Improcedente,8.6,Não
117,2,2025-05-07,Terceirizado,Assédio Sexual,39684.88,Não,Procedente,14.8,Não
118,100,2025-11-03,CLT,Assédio Moral,32185.29,Sim,Procedente,8.2,Não
119,16,2025-09-05,Estágio,Horas Extras,17780.5,Sim,Improcedente,7.1,Não
120,53,2023-08-09,Estágio,Assédio Sexual,60736.72,Sim,Improcedente,10.1,Não
121,22,2024-10-12,PJ,Assédio Moral,50774.44,Não,Parcialmente procedente,9.2,Sim
122,29,2023-12-21,Estágio,Horas Extras,32565.13,Sim,Improcedente,2.0,Não
123,36,2023-06-26,Terceirizado,Assédio Sexual,67091.63,Sim,Procedente,13.9,Não
124,19,2024-06-24,PJ,Vínculo Empregatício,26694.04,Sim,Parcialmente procedente,12.2,Não
125,99,2025-01-14,PJ,Assédio Moral,53231.46,Sim,Procedente,0.5,Sim
126,88,2024-03-09,CLT,Assédio Sexual,76151.3,Sim,Procedente,7.4,Sim
127,77,2026-03-18,PJ,Assédio Sexual,63478.63,Sim,Improcedente,1.7,Sim
128,17,2025-06-23,PJ,Assédio Moral,64455.05,Sim,Parcialmente procedente,4.7,Não
129,82,2026-01-08,Terceirizado,Equiparação Salarial,75028.46,Sim,Procedente,5.4,Não
130,75,2025-08-19,Estágio,Equiparação Salarial,77816.51,Não,Improcedente,14.7,Sim
131,56,2026-02-27,Estágio,Horas Extras,77580.82,Sim,Parcialmente procedente,12.6,Não
132,27,2026-02-21,Estágio,Vínculo Empregatício,57691.27,Sim,Procedente,13.2,Sim
133,32,2024-01-27,Estágio,Vínculo Empregatício,24857.33,Sim,Parcialmente procedente,5.8,Sim
134,35,2025-12-07,Terceirizado,Assédio Sexual,59088.62,Sim,Arquivada (acordo),0.9,Não
135,29,2023-12-28,Terceirizado,Horas Extras,50198.84,Sim,Procedente,8.3,Não
136,25,2024-10-06,CLT,FGTS,52252.5,Sim,Parcialmente procedente,10.0,Não
137,6,2025-12-31,PJ,Horas Extras,49875.93,Não,Procedente,13.5,Sim
138,15,2024-03-17,Estágio,Vínculo Empregatício,35962.81,Não,Improcedente,5.2,Não
139,79,2026-04-15,CLT,Horas Extras,63373.27,Não,Parcialmente procedente,11.1,Não
140,32,2024-07-19,CLT,Equiparação Salarial,31276.94,Sim,Improcedente,5.6,Sim
141,33,2023-11-30,CLT,Assédio Moral,34194.98,Não,Parcialmente procedente,6.8,Não
142,83,2025-11-23,CLT,Assédio Moral,72444.85,Sim,Parcialmente procedente,7.4,Sim
143,87,2023-12-14,Estágio,Verbas Rescisórias,59140.6,Não,Arquivada (acordo),6.9,Sim
144,46,2025-05-05,Estágio,FGTS,23147.03,Não,Parcialmente procedente,1.7,Sim
145,14,2025-06-06,CLT,FGTS,6426.4,Não,Improcedente,11.5,Não
146,6,2024-09-08,Terceirizado,Assédio Sexual,50469.69,Sim,Procedente,1.7,Sim
147,40,2026-04-29,Terceirizado,FGTS,72280.85,Sim,Improcedente,10.5,Sim
148,92,2025-06-20,PJ,Horas Extras,76520.42,Sim,Procedente,9.7,Não
149,82,2024-12-02,PJ,Equiparação Salarial,47929.8,Sim,Parcialmente procedente,9.1,Não
150,43,2024-03-16,CLT,Verbas Rescisórias,67808.06,Sim,Parcialmente procedente,8.5,Não
151,67,2024-09-08,Terceirizado,Horas Extras,35621.22,Não,Arquivada (acordo),10.9,Sim
152,10,2024-04-17,PJ,Assédio Moral,46728.03,Sim,Procedente,12.0,Não
153,29,2026-03-10,PJ,Assédio Moral,60583.15,Sim,Arquivada (acordo),6.7,Não
154,65,2024-06-22,Estágio,Acidente de Trabalho,48742.15,Sim,Arquivada (acordo),2.9,Não
155,41,2024-11-22,Estágio,Verbas Rescisórias,63466.35,Sim,Parcialmente procedente,14.6,Sim
156,46,2024-04-08,PJ,FGTS,57904.21,Sim,Procedente,7.8,Sim
157,13,2024-10-03,PJ,Assédio Moral,49271.07,Sim,Parcialmente procedente,4.3,Não
158,26,2024-01-30,PJ,Acidente de Trabalho,39925.66,Sim,Arquivada (acordo),6.4,Não
159,15,2025-01-17,Terceirizado,Acidente de Trabalho,8323.2,Sim,Arquivada (acordo),9.8,Não
160,62,2024-04-21,PJ,Verbas Rescisórias,50314.64,Sim,Parcialmente procedente,6.5,Sim
161,66,2025-11-14,PJ,Vínculo Empregatício,65584.06,Não,Improcedente,11.3,Não
162,87,2023-08-09,CLT,Equiparação Salarial,20349.28,Não,Parcialmente procedente,11.4,Sim
163,9,2025-06-21,Terceirizado,Assédio Sexual,66478.69,Não,Improcedente,7.1,Sim
164,86,2026-04-05,PJ,Assédio Moral,43660.56,Sim,Arquivada (acordo),10.8,Sim
165,43,2024-09-21,CLT,Acidente de Trabalho,76924.61,Sim,Improcedente,11.9,Sim
166,59,2023-05-30,CLT,Assédio Sexual,18492.44,Sim,Parcialmente procedente,7.5,Sim
167,17,2024-01-03,Estágio,Equiparação Salarial,74579.35,Sim,Parcialmente procedente,10.5,Sim
168,66,2025-03-30,PJ,FGTS,53875.2,Sim,Parcialmente procedente,11.8,Sim
169,72,2026-05-27,Estágio,Verbas Rescisórias,73548.73,Sim,Improcedente,11.8,Sim
170,27,2025-05-20,Estágio,Horas Extras,50573.38,Sim,Parcialmente procedente,14.9,Sim
171,60,2024-05-08,Estágio,Vínculo Empregatício,45692.96,Não,Parcialmente procedente,12.7,Sim
172,12,2025-04-25,CLT,Assédio Moral,64971.37,Não,Arquivada (acordo),8.0,Não
173,66,2025-06-23,CLT,Verbas Rescisórias,66474.59,Sim,Parcialmente procedente,11.4,Sim
174,54,2024-10-25,Estágio,Assédio Sexual,8226.15,Sim,Procedente,6.7,Sim
175,56,2025-02-10,Estágio,Acidente de Trabalho,75454.14,Sim,Parcialmente procedente,0.6,Sim
176,78,2026-02-25,CLT,Assédio Sexual,17428.93,Não,Parcialmente procedente,12.9,Não
177,7,2024-09-03,Estágio,FGTS,7115.37,Sim,Improcedente,12.4,Não
178,77,2024-07-15,Estágio,Acidente de Trabalho,65229.63,Sim,Procedente,13.9,Sim
179,78,2025-08-13,Terceirizado,FGTS,20804.54,Sim,Improcedente,4.9,Sim
180,96,2023-06-11,PJ,Assédio Sexual,30349.81,Sim,Parcialmente procedente,7.3,Sim
181,97,2024-09-22,Estágio,Assédio Moral,40094.77,Sim,Arquivada (acordo),1.9,Sim
182,89,2024-06-27,Estágio,Assédio Moral,33074.17,Sim,Parcialmente procedente,4.0,Não
183,98,2024-11-03,CLT,Assédio Sexual,12061.47,Sim,Parcialmente procedente,14.7,Não
184,50,2025-09-30,CLT,Vínculo Empregatício,9523.8,Sim,Arquivada (acordo),5.2,Sim
185,60,2024-04-20,Terceirizado,Acidente de Trabalho,61511.9,Sim,Parcialmente procedente,7.1,Sim
186,94,2023-11-11,Terceirizado,Horas Extras,11059.77,Não,Parcialmente procedente,8.8,Não
187,53,2025-05-06,Terceirizado,FGTS,42629.64,Não,Parcialmente procedente,4.0,Sim
188,6,2026-02-13,Terceirizado,FGTS,21867.82,Sim,Parcialmente procedente,13.0,Não
189,57,2023-10-08,CLT,Acidente de Trabalho,76082.74,Sim,Parcialmente procedente,4.7,Sim
190,66,2023-12-24,CLT,Assédio Moral,25506.47,Sim,Parcialmente procedente,12.2,Sim
191,10,2025-04-24,Estágio,Horas Extras,70405.82,Sim,Improcedente,6.8,Sim
192,24,2024-02-24,CLT,Acidente de Trabalho,17444.37,Sim,Parcialmente procedente,3.0,Não
193,13,2024-08-29,PJ,Assédio Moral,54548.93,Sim,Improcedente,7.8,Não
194,95,2024-10-25,PJ,Assédio Moral,41996.4,Não,Parcialmente procedente,14.0,Não
195,1,2024-01-02,Estágio,Assédio Moral,35717.68,Sim,Parcialmente procedente,5.3,Não
196,53,2025-06-21,Estágio,Acidente de Trabalho,72701.88,Sim,Arquivada (acordo),5.2,Não
197,86,2023-12-14,CLT,Vínculo Empregatício,38496.37,Não,Parcialmente procedente,14.2,Sim
198,16,2025-12-02,Terceirizado,Assédio Sexual,16429.56,Sim,Arquivada (acordo),10.4,Sim
199,11,2024-07-29,Terceirizado,Assédio Moral,77914.15,Não,Arquivada (acordo),11.9,Não
200,80,2026-02-21,PJ,Horas Extras,19887.44,Não,Parcialmente procedente,5.3,Sim
201,71,2024-09-21,Estágio,Assédio Sexual,46376.09,Sim,Parcialmente procedente,0.9,Sim
202,87,2025-11-30,Terceirizado,Acidente de Trabalho,67284.87,Sim,Arquivada (acordo),4.9,Não
203,62,2025-10-11,Terceirizado,Acidente de Trabalho,38986.9,Sim,Parcialmente procedente,8.8,Sim
204,20,2026-01-20,CLT,Verbas Rescisórias,22230.33,Sim,Improcedente,3.3,Sim
205,78,2025-07-18,PJ,Equiparação Salarial,30593.89,Sim,Procedente,14.8,Não
206,7,2023-09-25,PJ,Assédio Sexual,33273.26,Sim,Arquivada (acordo),0.6,Não
207,31,2025-06-11,Terceirizado,Acidente de Trabalho,61581.26,Sim,Parcialmente procedente,3.7,Não
208,68,2025-11-03,Terceirizado,Verbas Rescisórias,71528.41,Sim,Procedente,6.9,Sim
209,93,2025-10-16,Terceirizado,Equiparação Salarial,6732.26,Não,Improcedente,9.1,Não
210,62,2025-05-01,PJ,Assédio Sexual,8116.1,Não,Improcedente,3.4,Sim
211,47,2025-07-04,CLT,Acidente de Trabalho,72508.2,Sim,Arquivada (acordo),2.4,Sim
212,14,2025-05-21,PJ,Equiparação Salarial,30390.37,Sim,Procedente,12.7,Não
213,97,2023-10-11,PJ,Vínculo Empregatício,9109.89,Não,Arquivada (acordo),9.0,Não
214,60,2023-10-18,PJ,Horas Extras,12905.17,Sim,Arquivada (acordo),11.2,Não
215,47,2024-11-12,CLT,Assédio Moral,26383.09,Sim,Improcedente,11.5,Sim
216,60,2023-08-06,CLT,Horas Extras,57406.66,Sim,Procedente,0.7,Sim
217,82,2025-05-23,Estágio,Assédio Sexual,14512.49,Sim,Procedente,11.1,Não
218,25,2024-05-01,CLT,Horas Extras,35474.91,Sim,Procedente,7.0,Sim
219,7,2024-05-25,PJ,Acidente de Trabalho,46583.1,Não,Improcedente,1.0,Sim
220,69,2024-04-06,PJ,Acidente de Trabalho,48622.11,Sim,Improcedente,14.3,Sim
221,57,2024-05-24,Estágio,Assédio Sexual,39623.43,Sim,Arquivada (acordo),9.5,Sim
222,82,2024-12-24,PJ,Horas Extras,19133.3,Não,Parcialmente procedente,7.2,Sim
223,14,2024-07-23,PJ,Horas Extras,53091.42,Não,Procedente,13.3,Não
224,81,2024-05-14,Estágio,Verbas Rescisórias,24886.51,Sim,Procedente,1.8,Não
225,31,2025-03-19,CLT,Horas Extras,79876.84,Sim,Procedente,6.9,Não
226,63,2024-10-12,CLT,Horas Extras,29513.62,Não,Improcedente,2.0,Sim
227,99,2025-07-18,CLT,Assédio Sexual,79938.81,Sim,Procedente,10.7,Sim
228,72,2025-12-24,Terceirizado,Verbas Rescisórias,64407.16,Sim,Parcialmente procedente,13.4,Sim
229,23,2025-06-29,CLT,Assédio Moral,40384.43,Sim,Arquivada (acordo),3.7,Sim
230,86,2026-01-23,Terceirizado,Equiparação Salarial,44122.42,Sim,Procedente,2.5,Sim
231,15,2025-11-26,Estágio,FGTS,21922.03,Não,Arquivada (acordo),6.4,Não
232,87,2025-01-31,CLT,Horas Extras,23208.42,Sim,Improcedente,9.8,Sim
233,86,2026-04-14,Terceirizado,FGTS,68001.97,Sim,Procedente,10.7,Não
234,43,2026-03-21,Terceirizado,Horas Extras,74616.51,Sim,Arquivada (acordo),14.9,Não
235,7,2023-09-29,CLT,Equiparação Salarial,19943.98,Sim,Parcialmente procedente,3.9,Sim
236,34,2024-02-26,PJ,Horas Extras,72774.46,Sim,Arquivada (acordo),5.7,Sim
237,83,2024-05-22,Estágio,Horas Extras,47198.39,Sim,Improcedente,5.0,Não
238,44,2026-01-05,CLT,FGTS,30581.28,Sim,Arquivada (acordo),4.4,Não
239,20,2024-04-13,CLT,Assédio Sexual,63209.7,Não,Arquivada (acordo),14.0,Sim
240,67,2023-10-24,CLT,Assédio Moral,29334.66,Sim,Procedente,7.5,Não
241,67,2023-12-25,Terceirizado,Vínculo Empregatício,70104.61,Não,Improcedente,3.3,Não
242,90,2024-02-28,PJ,Horas Extras,72870.47,Sim,Arquivada (acordo),14.2,Sim
243,3,2023-07-01,PJ,Acidente de Trabalho,31261.23,Sim,Improcedente,7.8,Não
244,18,2024-06-23,PJ,Verbas Rescisórias,12593.59,Não,Procedente,1.2,Não
245,25,2026-05-24,Estágio,Assédio Moral,78904.18,Sim,Procedente,12.8,Sim
246,19,2026-02-24,PJ,Assédio Moral,19970.42,Sim,Arquivada (acordo),5.2,Não
247,75,2025-04-14,CLT,Equiparação Salarial,17974.32,Não,Parcialmente procedente,3.2,Sim
248,92,2024-08-13,CLT,Assédio Moral,68187.74,Não,Arquivada (acordo),1.5,Não
249,35,2025-01-28,Terceirizado,FGTS,45364.77,Sim,Procedente,7.2,Não
250,88,2024-09-03,CLT,Assédio Moral,19820.95,Sim,Arquivada (acordo),14.5,Não
251,24,2025-11-13,CLT,Horas Extras,12614.34,Não,Procedente,2.2,Não
252,60,2023-11-19,PJ,Acidente de Trabalho,64732.44,Sim,Parcialmente procedente,9.9,Não
253,29,2023-10-20,PJ,Horas Extras,57361.83,Não,Arquivada (acordo),8.4,Não
254,59,2024-07-19,CLT,Vínculo Empregatício,14680.69,Sim,Improcedente,7.8,Sim
255,15,2025-12-29,CLT,Assédio Sexual,49126.54,Sim,Parcialmente procedente,4.8,Não
256,22,2023-12-24,PJ,Assédio Moral,47030.43,Não,Improcedente,3.2,Sim
257,96,2023-08-14,PJ,Assédio Sexual,38907.75,Não,Procedente,2.9,Sim
258,72,2025-12-22,Terceirizado,Vínculo Empregatício,7507.9,Não,Improcedente,12.8,Não
259,23,2024-04-10,Terceirizado,Verbas Rescisórias,73361.13,Sim,Parcialmente procedente,2.6,Sim
260,81,2024-10-07,CLT,Horas Extras,64547.97,Sim,Arquivada (acordo),11.5,Sim
261,81,2025-01-17,CLT,Assédio Moral,21011.79,Não,Arquivada (acordo),14.5,Não
262,71,2025-07-12,Terceirizado,Assédio Moral,8905.87,Não,Parcialmente procedente,12.0,Sim
263,69,2025-07-09,Estágio,Acidente de Trabalho,73875.15,Sim,Improcedente,13.5,Não
264,20,2025-10-29,CLT,Vínculo Empregatício,54077.67,Não,Improcedente,7.0,Não
265,47,2024-08-26,Terceirizado,Horas Extras,67600.1,Sim,Procedente,8.3,Não
266,67,2023-08-07,Estágio,Assédio Moral,35665.49,Sim,Arquivada (acordo),8.5,Sim
267,58,2023-06-12,Terceirizado,Assédio Moral,15467.51,Sim,Arquivada (acordo),10.0,Sim
268,97,2023-09-15,PJ,Verbas Rescisórias,71509.0,Sim,Procedente,4.1,Sim
269,42,2025-09-16,CLT,Assédio Sexual,71988.65,Sim,Parcialmente procedente,6.8,Não
270,19,2023-07-13,Terceirizado,Assédio Moral,16678.38,Não,Arquivada (acordo),14.6,Sim
271,71,2024-03-28,Terceirizado,Equiparação Salarial,69408.8,Sim,Procedente,1.0,Não
272,70,2025-07-09,PJ,FGTS,48430.26,Sim,Arquivada (acordo),3.6,Sim
273,15,2023-08-11,CLT,Assédio Sexual,20015.68,Sim,Parcialmente procedente,1.2,Não
274,11,2023-10-31,CLT,Assédio Moral,50392.63,Não,Arquivada (acordo),4.6,Não
275,82,2026-03-25,Estágio,Assédio Moral,45390.54,Sim,Procedente,14.7,Não
276,53,2024-03-21,CLT,Assédio Moral,46638.86,Sim,Procedente,4.9,Não
277,31,2025-04-08,PJ,Verbas Rescisórias,62987.36,Sim,Procedente,9.4,Sim
278,4,2024-11-11,Terceirizado,Verbas Rescisórias,49200.07,Não,Arquivada (acordo),7.3,Não
279,58,2024-01-28,Estágio,Assédio Sexual,56583.13,Não,Improcedente,11.6,Não
280,67,2025-08-06,PJ,Verbas Rescisórias,51626.74,Sim,Improcedente,0.8,Não
281,90,2024-04-12,Estágio,Acidente de Trabalho,73359.57,Não,Improcedente,3.5,Não
282,2,2024-10-27,Estágio,FGTS,14909.13,Sim,Improcedente,11.2,Sim
283,20,2025-12-08,Terceirizado,Assédio Sexual,62186.29,Sim,Improcedente,11.4,Sim
284,32,2025-07-22,CLT,Assédio Moral,29576.92,Sim,Improcedente,1.3,Sim
285,1,2025-11-20,PJ,Assédio Sexual,43547.51,Não,Improcedente,9.6,Sim
